nodes,glutinAML_diff,nodes,glutinAML_diff
2902,1.85E-05,GO:0045944,0.004865526
2898,1.59E-05,GO:0045893,0.002784593
2806,1.45E-05,GO:0045892,0.002749575
6505,1.80E-05,GO:0000122,0.00249337
2891,5.37E-06,4609,0.001920261
79751,6.27E-06,864,0.00185104
2805,3.33E-05,6774,0.001793948
2903,7.23E-06,3417,0.001751258
124454,6.93E-06,302,0.001747837
6507,1.89E-05,2623,0.001735005
2747,8.21E-06,4869,0.001703043
2746,1.10E-05,6688,0.001684516
6506,9.18E-06,11168,0.00167674
GO:0097553,1.78E-05,2624,0.001676614
2744,6.66E-06,3845,0.001665679
GO:0045471,4.31E-05,64324,0.001650854
2895,6.55E-06,2672,0.001636429
6898,4.39E-05,3315,0.001636299
2356,1.10E-05,10919,0.001635515
2917,7.38E-06,861,0.001623229
